position,7eb3bed60a67f44d,fc337481622c4dc8,4b528a07c6810670,de81d543721249f6,9fcccaab3f956f66,a58db253434c6759,4af6994df3a900b9,9a97a9cd9ac398de,b4c8c0b52049e4de
"(30.85, 7)",-39.8,-47.43,-55.13,-49.25,-46.0,-46.65,-74.79,-84.0,-68.38
"(30.85, 7)",-39.29,-46.26,-57.21,-49.29,-46.53,-47.2,-74.35,-84.0,-66.55
"(30.85, 7)",-39.76,-47.11,-54.71,-48.61,-46.35,-47.11,-76.44,100,-68.33
"(2.82, 6.2)",100,100,100,100,100,100,-43.54,-46.48,-54.7
"(2.82, 6.2)",100,100,100,100,100,100,-44.58,-46.0,-55.37
"(2.82, 6.2)",100,100,100,100,100,100,-42.14,-45.35,-52.9
"(3.6, 10)",100,100,100,100,100,100,-47.16,-47.07,-51.7
"(3.6, 10)",100,100,100,100,100,100,-50.62,-48.97,-50.09
"(3.6, 10)",100,100,100,100,100,100,-46.5,-48.32,-50.92
"(3.6, 13.5)",100,100,100,100,100,100,-51.57,-49.8,-48.87
"(3.6, 13.5)",100,100,100,100,100,100,-53.35,-47.97,-46.85
"(3.6, 13.5)",100,100,100,100,100,100,-50.86,-47.87,-47.5
"(3.6, 17)",100,100,100,100,100,100,-55.47,-52.08,-45.45
"(3.6, 17)",100,100,100,100,100,100,-56.26,-53.1,-43.96
"(3.6, 17)",100,100,100,100,100,100,-57.0,-53.75,-46.05
"(19.55, 3.5)",-49.05,-50.03,-57.62,-41.58,-46.24,-45.9,-74.83,100,-78.0
"(19.55, 3.5)",-48.75,-49.6,-57.97,-41.88,-48.58,-45.71,-75.75,100,-77.25
"(19.55, 3.5)",-50.36,-50.5,-57.77,-41.35,-48.35,-45.7,-75.5,100,-79.0
"(23.15, 3.5)",-55.23,-49.54,-49.0,-47.32,-50.16,-54.73,-73.0,100,-74.67
"(23.15, 3.5)",-55.81,-49.82,-49.08,-46.25,-53.08,-56.45,-75.14,100,-71.43
"(23.15, 3.5)",-52.65,-48.74,-48.13,-46.5,-50.92,-54.86,-71.17,100,-71.8
"(26.85, 3.5)",-47.56,-50.29,-47.49,-51.24,-47.52,-53.32,100,100,-70.0
"(26.85, 3.5)",-48.28,-50.15,-47.85,-51.52,-47.61,-54.08,-80.67,100,-71.89
"(26.85, 3.5)",-48.34,-48.55,-48.84,-52.41,-48.11,-52.23,-93.0,100,-71.71
"(30.85, 3.5)",-54.94,-44.53,-46.82,-51.0,-51.35,-54.72,-70.75,100,-67.89
"(30.85, 3.5)",-55.69,-46.12,-49.25,-50.08,-55.57,-54.13,-73.92,100,-68.7
"(30.85, 3.5)",-55.22,-43.75,-47.45,-49.55,-51.54,-53.48,-72.57,100,-66.69
"(19.23, 7)",-57.54,-58.05,-59.61,-58.02,-56.2,-54.43,-86.75,100,-79.32
"(19.23, 7)",-44.87,-47.86,-47.33,-45.85,-45.55,-43.14,-77.67,100,-70.47
"(19.23, 7)",-45.59,-48.36,-47.53,-46.12,-44.39,-42.46,-80.0,100,-70.69
"(21.75, 7)",-54.87,-49.61,-48.37,-42.2,-43.26,-46.94,-77.0,100,-70.33
"(21.75, 7)",-55.59,-50.97,-49.28,-43.17,-44.39,-48.08,100,100,-72.25
"(21.75, 7)",-55.97,-50.48,-48.51,-43.08,-43.0,-46.89,-77.0,100,-72.18
"(25.95, 7)",-48.74,-50.5,-46.21,-47.53,-46.58,-44.3,100,100,-73.75
"(25.95, 7)",-48.46,-52.08,-47.5,-48.56,-47.81,-45.67,100,100,-73.67
"(25.95, 7)",-49.47,-53.0,-47.27,-49.81,-48.03,-45.24,100,100,-74.3
