position,7eb3bed60a67f44d,fc337481622c4dc8,4b528a07c6810670,de81d543721249f6,9fcccaab3f956f66,a58db253434c6759
"(30.85, 7)",-39.8,-47.43,-55.13,-49.25,-46.0,-46.65
"(30.85, 7)",-39.29,-46.26,-57.21,-49.29,-46.53,-47.2
"(30.85, 7)",-39.76,-47.11,-54.71,-48.61,-46.35,-47.11
"(19.55, 3.5)",-49.05,-50.03,-57.62,-41.58,-46.24,-45.9
"(19.55, 3.5)",-48.75,-49.6,-57.97,-41.88,-48.58,-45.71
"(19.55, 3.5)",-50.36,-50.5,-57.77,-41.35,-48.35,-45.7
"(23.15, 3.5)",-55.23,-49.54,-49.0,-47.32,-50.16,-54.73
"(23.15, 3.5)",-55.81,-49.82,-49.08,-46.25,-53.08,-56.45
"(23.15, 3.5)",-52.65,-48.74,-48.13,-46.5,-50.92,-54.86
"(26.85, 3.5)",-47.56,-50.29,-47.49,-51.24,-47.52,-53.32
"(26.85, 3.5)",-48.28,-50.15,-47.85,-51.52,-47.61,-54.08
"(26.85, 3.5)",-48.34,-48.55,-48.84,-52.41,-48.11,-52.23
"(30.85, 3.5)",-54.94,-44.53,-46.82,-51.0,-51.35,-54.72
"(30.85, 3.5)",-55.69,-46.12,-49.25,-50.08,-55.57,-54.13
"(30.85, 3.5)",-55.22,-43.75,-47.45,-49.55,-51.54,-53.48
"(19.23, 7)",-57.54,-58.05,-59.61,-58.02,-56.2,-54.43
"(19.23, 7)",-44.87,-47.86,-47.33,-45.85,-45.55,-43.14
"(19.23, 7)",-45.59,-48.36,-47.53,-46.12,-44.39,-42.46
"(21.75, 7)",-54.87,-49.61,-48.37,-42.2,-43.26,-46.94
"(21.75, 7)",-55.59,-50.97,-49.28,-43.17,-44.39,-48.08
"(21.75, 7)",-55.97,-50.48,-48.51,-43.08,-43.0,-46.89
"(25.95, 7)",-48.74,-50.5,-46.21,-47.53,-46.58,-44.3
"(25.95, 7)",-48.46,-52.08,-47.5,-48.56,-47.81,-45.67
"(25.95, 7)",-49.47,-53.0,-47.27,-49.81,-48.03,-45.24
