Max,Min,Mean,Low Samples,Medium Samples,High Samples,Ultra Samples,Low Transictions,High Transictions,Tool
243.81,10.14,78.211,12,23,0,0,15,0,BerbequimBuracos
507.49,22.92,211.638,1,9,2,0,1,0,BerbequimBuracos
570.67,15.12,184.865,1,32,8,0,16,0,BerbequimBuracos
158.51,131.46,140.541,0,99,0,0,2,0,Lixadeira1
1.18,0.88,1.07,99,0,0,0,0,0,Polidora2
1.2,0.94,1.081,99,0,0,0,0,0,Polidora2
1.18,0.96,1.05,29,0,0,0,0,0,Polidora2
101.75,95.15,98.45,0,4,0,0,1,0,Polidora1
806.45,67.46,600.841,0,10,81,0,41,0,Polidora1
804.99,14.93,631.974,2,9,75,0,30,0,Polidora1
104.67,47.79,90.758,0,99,0,0,14,0,Polidora2
104.83,47.63,86.0,0,99,0,0,15,0,Polidora2
97.08,1.01,52.107,38,61,0,0,8,0,Polidora2
631.16,0.44,323.892,27,9,55,0,27,0,Rebarbadora1
603.06,0.46,354.577,25,7,67,0,35,0,Rebarbadora1
575.11,0.49,230.047,10,5,9,0,5,0,Rebarbadora1
1982.35,18.57,620.199,2,22,6,11,4,6,Secador1
2009.29,30.12,1074.116,0,5,0,7,2,2,Secador1
160.81,58.53,137.703,0,82,0,0,3,0,Lixadeira1
149.75,135.28,142.263,0,99,0,0,0,0,Lixadeira1
148.06,127.19,140.13,0,99,0,0,0,0,Lixadeira1
146.34,70.15,134.019,0,99,0,0,2,0,Lixadeira1
152.32,18.94,119.821,2,25,0,0,4,0,Lixadeira1
